index,f_acc_p25,f_acc_p50,f_acc_p75,f_acc_vEnt,f_acc_tEnt,f_acc_acPer,f_acc_accNor,f_gyr_mean,f_gyr_std,f_gyr_p25,f_gyr_p50,f_gyr_p75,f_gyr_vEnt,f_gyr_acPer,f_gyr_acNor,f_loc_latStd,f_loc_longStd,f_loc_latChg,f_loc_longChg,f_loc_latAbsDv,f_loc_longAbsDv,f_aud_AbsMax,b_appSt_Act,b_appSt_InAct,b_appSt_Bkg,b_appSt_Miss,b_battPlg_Ac,b_battPlg_Usb,b_battPlg_Wrls,b_battPlg_Miss,b_battSt_Unk,b_battSt_Unplg,b_battSt_NtChrg,b_battSt_DsChrg,b_battSt_Chrg,b_battSt_Full,b_battSt_Miss,b_onPhn_F,b_onPhn_T,b_onPhn_Miss,b_ringMd_Norm,b_ringMd_silNV,b_ringMd_silV,b_ringMd_Miss,b_wifiSt_nr,b_wifiSt_rWifi,b_wifiSt_rWwan,b_wifiSt_Miss,b_time_0_6,b_time_6_12,b_time_12_18,b_time_18_24,b_time_3_9,b_time_9_15,b_time_15_21,b_time_21_3,b_class_home
2927,1.020396,1.022716,1.02505,2.1954,6.684603,5.732171,0.165928,0.001547,0.000734,0.00103,0.001461,0.001988,2.478477,7.567738,0.032949,4e-06,3e-06,7e-06,2e-06,1e-06,1e-06,10.339223,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,True
2928,1.000009,1.000676,1.00138,2.44465,6.684611,2.282499,0.124485,0.001649,0.000768,0.001164,0.001538,0.002139,2.591011,1.374727,0.09219,0.000468,0.00178,3.7e-05,3.2e-05,0.010864,0.040912,-2.701306,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True
2929,0.995702,0.997141,0.998457,2.347108,6.684609,1.394652,0.077907,0.016326,0.002169,0.01495,0.016267,0.017577,2.386653,0.19922,0.159021,,,,,,,6.269096,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,True
2930,0.96851,0.997702,1.031286,1.925631,6.680364,1.313606,0.227905,0.942454,0.71547,0.382593,0.829435,1.40992,2.737487,7.889789,0.191814,,,,,,,9.847235,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False
2931,0.981244,0.984921,0.989209,0.574763,6.681944,0.597166,0.222153,0.260861,0.902415,0.019002,0.020002,0.021695,0.59827,1.454599,0.00532,,,,,,,10.369264,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False
2932,1.00623,1.015184,1.025247,1.681133,6.684328,6.537839,0.084186,0.070055,0.093499,0.025291,0.044012,0.077776,1.445644,6.839586,0.044846,0.000293,0.000571,-0.000939,0.002205,4.5e-05,4.9e-05,10.33527,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,True
2933,0.989579,0.992338,0.995205,1.589344,6.684539,2.688523,0.186071,0.048673,0.038658,0.021377,0.033624,0.065208,2.186313,3.606951,0.110043,,,,,,,7.516433,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False
2934,0.993105,0.994357,0.995506,2.532675,6.68461,3.82283,0.080516,0.017355,0.000961,0.016693,0.017337,0.018001,2.554225,4.482602,0.086702,,,,,,,9.012377,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,True
2935,0.992921,0.995081,0.997367,1.82492,6.6846,0.318535,0.168119,0.02116,0.01057,0.016213,0.01796,0.021585,1.506008,1.6933,0.07228,,,,,,,9.817712,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,True
2936,0.999932,1.000616,1.001278,2.590475,6.684611,1.01119,0.116345,0.001632,0.000745,0.001104,0.001522,0.002052,2.4397,3.649294,0.07553,0.000465,0.001778,1.7e-05,-1.6e-05,0.007813,0.029646,-2.425649,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,True
2937,0.992173,0.9935,0.994749,2.47458,6.68461,6.037326,0.091363,0.014314,0.00091,0.013691,0.014375,0.014939,2.561887,3.706032,0.08254,,,,,,,8.862484,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True
2938,0.98621,0.99171,0.99736,0.659779,6.683673,3.158273,0.24566,0.370876,0.419384,0.072758,0.181821,0.546284,1.934207,3.143189,0.387728,0.0,0.0,0.0,0.0,0.0,0.0,10.335595,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False
2939,0.976748,1.024691,1.074813,2.209405,6.677586,1.206985,0.347872,0.816247,0.701361,0.27111,0.61059,1.133461,2.38848,6.261033,0.150788,0.000233,0.000614,-0.000916,0.002347,2.5e-05,6.5e-05,7.912057,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,True
2940,1.022128,1.024202,1.026049,1.957792,6.684606,0.844889,0.100872,0.001984,0.00131,0.001282,0.001815,0.00236,1.384071,1.030966,0.128692,0.0,0.0,0.0,0.0,0.0,0.0,8.808369,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False
2941,1.016054,1.022543,1.030376,2.001547,6.684422,1.632053,0.110483,0.119376,0.138093,0.035972,0.063315,0.145493,2.067104,4.900791,0.003215,,,,,,,9.742556,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,True
2942,0.989463,0.990744,0.992016,2.602593,6.68461,0.039837,0.106147,0.020255,0.000908,0.019586,0.020244,0.020888,2.520037,0.577766,0.09312,,,,,,,6.238325,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True
2943,0.87246,1.029469,1.185128,2.597914,6.655859,1.267335,0.430471,1.216409,0.7219,0.599116,1.161607,1.81392,2.927474,2.539701,0.325504,7e-06,0.000215,3e-05,0.000654,3e-06,4.1e-05,10.336276,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False
2944,0.998284,0.998927,0.999621,2.38339,6.684611,0.953452,0.108473,0.001584,0.000736,0.000898,0.001409,0.002027,2.357163,7.473394,0.068878,0.000956,0.002629,-5e-06,-5e-06,0.020237,0.055701,-1.619096,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False
2945,1.000272,1.001016,1.001701,0.643784,6.684608,0.202421,0.165621,0.001486,0.00078,0.001092,0.00135,0.001762,1.70158,0.824392,0.110512,0.000656,0.000721,-0.00151,-0.001658,0.009468,0.010401,-0.988094,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False
2946,0.931,1.021326,1.119203,2.300121,6.660141,0.683689,0.437488,0.916969,0.637471,0.46956,0.769841,1.299196,2.594177,4.062541,0.203501,0.0,0.0,0.0,0.0,0.0,0.0,9.599473,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False
2947,0.993893,0.994939,0.996197,2.494512,6.68461,0.498398,0.07417,0.018908,0.000964,0.018283,0.018895,0.019476,2.522064,2.430717,0.081414,,,,,,,10.295699,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,True
2948,0.997281,1.008604,1.020857,2.151725,6.684252,0.78454,0.168092,0.214494,0.663567,0.031079,0.052568,0.121854,0.366446,5.532016,0.06222,0.000257,0.000601,-0.001011,0.002338,2.2e-05,4.9e-05,8.847072,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,True
2949,0.999241,1.000346,1.001505,2.523985,6.68461,0.23115,0.547982,0.002266,0.001074,0.001476,0.002064,0.002914,2.59165,0.09998,0.278661,1e-06,5e-06,-1e-06,9e-06,0.0,0.0,-2.769551,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True
2950,0.938958,1.012536,1.092398,2.480953,6.67498,0.577857,0.396037,0.851086,0.610105,0.419744,0.69353,1.063337,2.567046,4.343461,0.245332,,,,,,,9.925591,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False
2951,1.000786,1.001508,1.002135,2.074931,6.684611,2.949578,0.099815,0.001725,0.001019,0.001121,0.001507,0.002125,1.827441,5.47112,0.053692,0.000955,0.002631,-4e-06,-2e-06,0.007302,0.020129,-2.34127,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False
2952,1.011835,1.015634,1.019574,1.010273,6.684521,0.68088,0.155954,0.066246,0.103772,0.024476,0.036418,0.056789,1.205489,3.774189,0.048597,,,,,,,10.280244,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True
2953,1.008581,1.015786,1.023081,1.96884,6.684434,1.713548,0.143735,0.148574,0.157071,0.045057,0.091118,0.186565,1.89121,7.049005,0.126911,,,,,,,9.544739,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False
2954,0.994707,1.004002,1.028387,1.207421,6.67684,1.016255,0.159314,0.734474,1.267938,0.026418,0.062267,0.887373,1.45504,0.0,0.0,,,,,,,10.364829,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False
2955,1.018562,1.019716,1.02089,2.496742,6.68461,3.145383,0.092247,0.017466,0.000877,0.016871,0.017464,0.018035,2.496683,0.97629,0.110505,,,,,,,5.823046,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True
2956,1.014909,1.016736,1.01852,1.597135,6.684605,0.683958,0.117287,0.001766,0.00087,0.001139,0.001646,0.002258,2.163586,0.125728,0.129578,0.000144,1.6e-05,4e-06,4e-06,0.000665,7.5e-05,8.496378,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True
2957,1.025885,1.027363,1.0288,0.925341,6.684601,0.378562,0.207381,0.018177,0.013823,0.016164,0.017198,0.018285,0.237573,3.267794,0.061578,,,,,,,9.680781,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False
2958,0.991298,0.994372,0.998271,0.710466,6.680366,0.50291,0.269,0.52827,0.785797,0.040342,0.136571,0.598495,1.87213,0.0,0.0,0.000207,1.1e-05,-0.000596,2.4e-05,7.6e-05,1e-06,10.397177,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False
2959,1.017866,1.022698,1.02727,1.987107,6.684564,1.036117,0.16656,0.04032,0.039685,0.020894,0.0294,0.047453,1.421464,0.0,0.0,,,,,,,10.167427,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True
2960,0.993437,0.994756,0.995883,2.554736,6.68461,0.278648,0.087825,0.022076,0.000926,0.021467,0.022104,0.02272,2.350425,2.969115,0.083864,,,,,,,7.914252,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True
2961,0.997738,0.999155,1.000568,2.079654,6.684609,0.101695,0.1027,0.020638,0.023156,0.00701,0.012327,0.023846,1.857366,5.480511,0.271916,4.6e-05,5e-06,0.0,-1e-06,3e-05,4e-06,7.696667,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,True
2962,1.018003,1.019257,1.020477,2.588595,6.68461,0.039847,0.100843,0.017795,0.000826,0.017278,0.017779,0.018355,2.557697,4.064989,0.082014,,,,,,,7.798933,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True
2963,0.979006,0.980142,0.981358,2.564432,6.68461,2.569897,0.10054,0.024054,0.000842,0.023437,0.024059,0.024632,2.547956,0.258989,0.121337,,,,,,,6.165418,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,True
2964,1.025369,1.026807,1.028381,1.709191,6.684609,1.611874,0.094544,0.018731,0.015939,0.016491,0.017642,0.018918,0.077708,1.016275,0.11453,,,,,,,9.640563,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False
2965,1.014528,1.015729,1.016891,1.687651,6.68461,0.059776,0.097697,0.015921,0.001657,0.015145,0.015894,0.016629,1.757174,4.622268,0.109091,,,,,,,8.566364,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False
2966,1.011268,1.021008,1.030804,1.588697,6.684371,4.797308,0.129395,0.101704,0.069708,0.05702,0.086837,0.127719,2.076268,7.541793,0.108025,2.3e-05,4e-06,4.9e-05,-3e-06,5e-06,1e-06,8.782476,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True
2967,1.000709,1.001332,1.001995,2.530127,6.684611,1.648439,0.098245,0.001778,0.000855,0.001172,0.00163,0.0023,2.46503,0.87441,0.162777,0.000959,0.002624,-0.0,0.0,0.005524,0.015107,-0.880181,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False
2968,0.999885,1.00065,1.001275,2.559946,6.684611,2.48468,0.166954,0.001613,0.000775,0.001028,0.001475,0.002082,2.248598,0.224955,0.075543,0.000418,0.001638,-4.9e-05,2.8e-05,0.012001,0.048166,-2.543673,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,True
2969,0.986517,0.988544,0.99057,1.831838,6.68428,0.059766,0.761441,0.018636,0.000864,0.018082,0.018652,0.019208,2.631941,6.773367,0.084258,,,,,,,9.99757,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False
2970,0.999167,1.000398,1.001663,2.72126,6.68461,0.231171,0.62123,0.00255,0.001251,0.001608,0.002343,0.003356,2.611376,0.04999,0.403681,1.4e-05,2e-06,2.8e-05,5e-06,1e-06,0.0,-2.700732,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,True
2971,1.01515,1.016464,1.017767,1.947028,6.684609,1.711506,0.095304,0.015663,0.001007,0.014978,0.015679,0.016348,2.489653,1.016259,0.084783,,,,,,,7.63337,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False
2972,0.765939,1.110119,1.381221,2.670909,6.604513,0.824774,0.47114,2.091941,0.934294,1.383676,2.081714,2.798029,2.809572,0.804658,0.423443,0.000371,3.4e-05,-0.001225,-9.2e-05,7.7e-05,1.6e-05,10.338576,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False
2973,1.000963,1.001593,1.002385,2.37139,6.684611,0.693998,0.111722,0.00168,0.000754,0.00104,0.001601,0.002097,2.561423,7.44494,0.097639,0.000943,0.002586,4e-06,2e-06,0.007335,0.020105,-1.700208,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False
2974,1.022579,1.024716,1.026821,1.262533,6.6846,3.962935,0.135803,0.016843,0.019216,0.004266,0.008057,0.023082,2.02133,4.752504,0.024351,0.0,0.0,0.0,0.0,0.0,0.0,10.313343,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False
2975,1.0005,1.001141,1.001847,1.433007,6.684611,0.520482,0.092838,0.001667,0.001167,0.00111,0.001476,0.001981,1.142672,6.794995,0.215717,0.000943,0.00259,-5e-06,-2e-05,0.010485,0.028805,-0.968747,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False
2976,1.032772,1.034808,1.036907,2.458125,6.684608,0.364015,0.101429,0.009325,0.011233,0.003782,0.006269,0.010248,1.380091,2.087045,0.084981,0.0,0.0,0.0,0.0,0.0,0.0,9.423918,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False
2977,0.998786,1.007077,1.015777,1.263202,6.684024,7.323556,0.107761,0.225956,0.518717,0.042126,0.067894,0.154759,0.719232,9.027253,0.054487,4.4e-05,4.4e-05,-0.000143,-0.000197,2.1e-05,1.9e-05,10.335887,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,True
2978,1.015844,1.022016,1.029509,1.518558,6.6844,0.219201,0.168615,0.068054,0.078568,0.025091,0.040651,0.076495,1.589059,0.0,0.0,,,,,,,9.785267,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True
2979,0.995462,1.01509,1.038024,1.743747,6.683342,2.707058,0.133352,0.420099,0.493526,0.123443,0.27053,0.504034,1.716334,3.067663,0.208586,,,,,,,10.288648,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False
2980,0.978217,0.979439,0.980605,2.492141,6.68461,0.716904,0.083381,0.024111,0.000838,0.023563,0.024134,0.024654,2.559549,1.553855,0.09062,,,,,,,5.303305,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True
2981,1.000118,1.000891,1.001604,0.122886,6.684556,0.26024,0.199459,0.007592,0.046946,0.001425,0.00202,0.002646,0.1512,0.549596,0.003179,0.001225,0.001977,-2.6e-05,2e-06,0.012052,0.019518,-1.238593,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False
2982,1.002512,1.01889,1.033548,2.160141,6.684087,0.282062,0.1489,0.259994,0.320721,0.067934,0.141705,0.358807,1.474283,1.852633,0.137555,,,,,,,10.312114,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False
2983,0.986162,0.987397,0.988594,2.541241,6.68461,0.438353,0.09878,0.022815,0.000957,0.022125,0.022815,0.023498,2.645841,0.31885,0.093215,,,,,,,8.192017,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True
2984,0.998362,0.999152,0.999974,2.434431,6.684611,0.924607,0.115958,0.00162,0.000757,0.001079,0.001501,0.00209,2.182638,7.12367,0.092217,0.000953,0.00262,-1.1e-05,-0.0,0.017971,0.049493,-1.395871,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False
2985,0.998908,1.017474,1.035316,0.886016,6.677351,0.458382,0.172046,0.600645,1.068883,0.040337,0.066598,0.716138,1.240863,0.0,0.0,,,,,,,10.343708,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False
2986,0.988929,0.989809,0.990662,2.574614,6.684611,0.956146,0.10615,0.019906,0.002749,0.018269,0.019656,0.021302,1.841167,0.318789,0.344322,,,,,,,5.099866,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False
2987,0.978419,0.980424,0.982808,1.322427,6.684566,0.438357,0.188084,0.061101,0.074713,0.01984,0.028897,0.065109,1.573552,6.754602,0.136708,,,,,,,9.664659,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True
2988,1.010799,1.021353,1.03298,2.323331,6.684404,0.261514,0.157094,0.073998,0.061923,0.030746,0.055369,0.098872,1.848644,3.771827,0.120086,0.000278,0.000582,0.000416,-0.000168,0.000776,0.0013,9.321255,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,True
2989,0.986985,0.988673,0.990421,1.509074,6.684601,0.059776,0.245289,0.021999,0.005355,0.020162,0.021349,0.022628,1.446689,0.777093,0.290234,,,,,,,6.073045,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False
2990,1.012199,1.018353,1.025082,0.799984,6.683583,1.235433,0.212256,0.208535,0.474287,0.03738,0.06547,0.150259,0.822671,4.264053,0.002496,,,,,,,9.739968,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False
2991,1.013084,1.01948,1.026186,1.222931,6.68426,0.298903,0.207761,0.060774,0.10871,0.023347,0.033804,0.05429,0.7499,7.233442,0.017114,,,,,,,8.648046,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False
